status	k	support	basis	dim	exact_quotient	matrix_sha256	artifact
exact	48	alpha=521/2000,eta=491/2000,beta3+=889/5000	no-ones-D5	19	0.8970523259661483	0fbac9286c5bb4e56012fafad4a8807e36d96b381d3f773f616576cc6403646d	results/enlarged_k48_noones_D5.json
exact	48	alpha=513/2000,eta=487/2000,full-simplex	even-B14	195	0.9751285849911197	27edfdc0baf94cbe7c5c94d79b62a0c3515846f26971b84b001823eea98fcb76	results/eps0065_fullsimplex_k48_B14.json
exact	48	alpha=78647/300000,eta=75647/300000,delta=2/125,B=(3/20,769/5000,849/5000)	no-ones-D4	12	0.8920052899993396	3ff2aa2df271abd6230b9836f1d474380c85724d055b3d3f8d98fbd26e52f055	results/direct_hb_frontier_k48_noones_D4.json
exact	48	alpha=79247/300000,eta=76247/300000,full-simplex	no-ones-D12	272	1.0030189929241073	b882098bd6889ff251195b45153a2204e4df1c4ef843a2ae85dcc1b2fd3e041d	results/hb_c10_fullsimplex_noones_D12.json
mp-discovery	48	alpha=163/625,eta=627/2500,delta=1/50,B=(3/20,3/20,17/100)	fixed exact no-ones-D4 vector	12	0.887273520064345754675253407883	-	results/grouped_mp_c20_D4_regression.json
aborted-resource	48	alpha=163/625,eta=627/2500,delta=1/50,B=(3/20,3/20,17/100)	no-ones-D6,len(lambda)<=1	22	-	-	cache/matrix_entries.sqlite3 (durable partial cache; stopped for priority D12)
aborted-resource	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed full-simplex no-ones-D10 vector	139	-	-	grouped_fixed_vector.py (stopped before output to release RAM for priority D12)
exact	48	alpha=163/625,eta=627/2500,delta=1/50,B=(3/20,3/20,17/100)	grouped fixed no-ones-D4 vector	12	0.8872735200643457546752534078831447557610757515060452997391842614615816624960	-	results/grouped_exact_c20_D4_parallel2_regression.json
mp-discovery-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed full-simplex no-ones-D12 vector	272	0.9709698476337895741123900041395560037415645658885284268990601230770786133380757352356771931669103051	-	results/c10_capped_fullD12_vector_grouped_mp100.json (SHA 02e1a6676a68380592fd272845f7714d583574bd74f73b9a96727171751281d9; Decimal100, non-rigorous; shortfall 0.0290301523662104258876099958604439962584354341114715731009398769229213866619242647643228068330896949)
exact-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed full-simplex no-ones-D4 vector	12	0.8963160512159083	-	results/c10_capped_fullD4_vector_grouped_exact.json (SHA 51b1e6b36e289a69f7d52401ed9db7714e014a0182826f0e2d20a1f04b494874; exact Fraction; input SHA ac48820277b68dd5232fd2678a7980d60318b69e60d15d44d9c6eb006fa1ea0d)
exact-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed cap-optimized Decimal55 no-ones-D4 vector interpreted as exact finite-decimal rationals	12	0.8963676783427826	-	results/c10_capped_D4_decimal55_vector_input.json (SHA 2b11a18c697e9a2be61204b5493bf7a235ce4add39d853bbb4d76ef31fb4666b; original source SHA e879d914f2c183c744476dc59244370898ac5c1f375bcb2529fe20bca2db73c6; matching-vector exact grouped reevaluation; q exact numerator begins 2556387961422765443261875857 and denominator begins 2851941254897825000213478618; distinct from full-simplex-vector input SHA ac488202...)
exact-schedule-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=[3/20,3/20,97/625] constant-extended	fixed full-simplex no-ones-D4 vector	12	0.8963160512159082457686602654	-	results/c10_scheduled_constant_D4_exact.json (SHA d18e82bd82e1a34ffc5d802c6153736c6042c710577f1dd16275c93c3bc05c42; canonical schedule SHA cbcfbf32a69c13bff8560ea3f580e4b033118661c0c7d468b2d30e9ab3c5bc9e; exact I,J/counts equal pinned three-cap evaluator)
exact-amplitude-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed full-simplex no-ones-D4 polynomial times rational a_R,R=0..15	16 amplitudes	0.9002830597452611935374979517	-	results/c10_stratum_amplitude_fullD4_exact.json (SHA 09ecb794833417e56537a43b65957ee70fc4d4c7bc17b944d9e02d12847dc87a; exact gain 0.003967008529352947768837686259; tridiagonal block and fresh branch-scaled direct Fraction traversals bit-for-bit)
exact-amplitude-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed cap-optimized finite-decimal no-ones-D4 polynomial times rational a_R,R=0..15	16 amplitudes	0.9000996926830291835518753426	-	results/c10_stratum_amplitude_cappedopt_D4_exact.json (SHA 362b2b58938e3fdfdf0afd6916ddabce17cce71aa856795866f5d51f26dcb043; exact gain 0.003732014340246554740261079921; tridiagonal block and fresh branch-scaled direct Fraction traversals bit-for-bit)
exact-schedule-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=[3/20,3/20,97/625,...,3489/20000] explicit through r=18,constant-extended	fixed full-simplex no-ones-D4 vector	12	0.8986939777354343577044294966728082932988	-	results/c10_nonconstant_schedule_fullvector_D4_exact.json (SHA 83baf24074e989bdd3bd6fd7e7b0ac866fb7e8bdcd6b55c0f05893e62f59202e; exact grouped evaluation; schedule file SHA ac7cacb5386fc631fcddabe6ffeb0eff47dde969200db8fb33f1215198919b38)
exact-schedule-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=[3/20,3/20,97/625,...,3489/20000] explicit through r=18,constant-extended	no-ones-D4 rationalized Decimal120 generalized vector	12	0.8986948736808947779503198417994740524393	6513e3835540b14037ffc8c62219083742e02c0b67e255ee85af0311c5e6250d	results/c10_nonconstant_schedule_optimized_D4_pairwise.json (SHA a55a020270072adf0eefc0175bdb012e424b6fc189c7d1e7aac74e17757dcbbb; grouped exact matching-vector artifact SHA 73fa22176730b9a443582df46cea5c0737798e9ebea6fb7a9a0ce534e522ba05; exact forms/vector quotient, eigenvector selection non-rigorous)
exact-vector-invalidated-optimizer	48	alpha=79547/300000,eta=76547/300000,delta=7/1000,B_all=731/5000	no-ones-D4 Decimal120 power candidate	12	0.8037910083579469922003509037539656550690	83e3ef4aa3727fed0e568f021ae95b3b5f7962b3aa6212ab833ecd613bdcf543	results/c70_schedule_optimized_D4_pairwise.json (SHA 48c37ccc7fd0b77afa12347d0933f140f53e440778b7d6a884f4a1666dd50918; particular rational-vector forms exact, but power iteration targets largest magnitude and is invalid as a generalized-maximum algorithm; superseded by robust Cholesky-Jacobi solve)
exact-vector-robust-discovery-negative	48	alpha=79547/300000,eta=76547/300000,delta=7/1000,B_all=731/5000	no-ones-D4 robust Decimal240 Cholesky-Jacobi candidate rationalized denominator<=1e15	12	0.8037910083579469922003509212227199556346	83e3ef4aa3727fed0e568f021ae95b3b5f7962b3aa6212ab833ecd613bdcf543	results/c70_schedule_optimized_D4_robust.json (SHA 8c1d73ac7a0cd65331bd02affca757403a3930227bbf4390e96ababbabf24d28; exact particular-vector forms; largest-eigenvalue discovery non-rigorous but stable at Decimal160/240 with residuals 5.19e-243/6.67e-310; solver/test SHAs 2086244a/bf30d04d)
exact-stratum-linear-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed capped-optimal finite-decimal no-ones-D4 polynomial times rational per-R span{1,L,Z};48 full coordinates,47 active	48	0.9348269207174672858115632780638459199717	-	results/c10_stratum_linear_cappedopt_D4_exact.json (SHA ffa607e0f2a8a3b6648f248efb13dc7ac2f1e7ef5809771f31c5f04b30f53158; exact Gram pruning discarded only [R=0,L]; exact block/full-vector fresh traversal bitwise equal; 312 I faces,1200 J domains; gain .0347272280344381 over scalar amplitudes)
exact-stratum-quadratic-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed capped-optimal finite-decimal no-ones-D4 polynomial times rational per-R span{1,L,Z,L^2,LZ,Z^2};96 full coordinates,93 active	96	0.9539674388485507785778746586710282622062	-	results/c10_stratum_quadratic_cappedopt_D4_exact.json (SHA fbc8c38d2cf4241fdba03beb4251e2692e96af01ad4918c9a3a1075af2ed6e86; exact Gram pruning discarded [R=0,L],[R=0,L^2],[R=0,LZ]; exact block/full-vector fresh traversal bitwise equal; 312 I faces,1200 J domains,31980 channel integrals; exact gain .0191405181310834927663113806072 over D1)
mp-calibration	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	fixed capped-optimal no-ones-D4 polynomial times all constants and L/Z through R<=10;38 nominal,37 retained	38	0.9348268993709685812423095263799796834152	-	results/c10_stratum_linear_D4_decimal100_cut10.json (SHA af9d1ff299bd49aecdfd151ba3dec04e9fadb69d4ce7451d3d787b3e16a6d8b9; non-rigorous Decimal100 calibration; every 71 I/168 J entry checked against exact D4 forms, worst relative error 1.36e-60); Decimal160 rerun SHA96e0655e, worst error4.89e-120
mp-transferred-affine-negative	48	alpha=79247/300000,eta=76247/300000,delta=1/100,B=(3/20,3/20,97/625)	integer-scaled 272-term no-ones-D12 polynomial times transferred exact D4 per-R span{1,L,Z}, with L/Z through R<=11	272x48	0.9671692127936067321469619048809532704997	-	results/c10_D12_affine_transfer_decimal100_cut11.json (SHA e83d3610b8130d743757a5f01aacc6ff2d2b2acd3128e5ff21b9a01cfa53d8da; Decimal100 discovery only, theorem_ready=false; margin 48J-I=-3.0876715318889249488095349920306974414E+310; 695 marginal components,1200 J domains; all provenance/count/finite gates PASS; J 15305.696s,peak335768KiB; driver SHA91d1b4ad; input SHA8650e44c; multiplier SHAffa607e0; I-stage SHA96c9b89b)
