id	timestamp	code_sha256	parameters	basis	precision	quotient	rigorous_status	wall_seconds	peak_memory_kb	notes
BV-D14-GRID38-CUTOFF-CROSS-R6-FIXED-POLYGON-V8	2026-09-03T13:44:25+02:00	36a8e027c83cabb272aa28a5d542dc571793cbcf90c5ca48787bc20092a55b72	k=48;delta=1/60;alpha1=103/400;alpha2=9500917/36000000;eta=8960917/36000000;common-r=6;Fscale=1e87;Hscale=1e38	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	cached fixed-denominator radial integers;fixed-polygon exact moments;Fraction exact	NA	EXACT COMMON-r SHARD PASS;RESULT CHECKER PASS NORMAL/-O;NO AGGREGATE OR QUOTIENT	1191.827632 internal;1192.27 wall	943040	Artifact SHAe56d9c18; exact scaled b=6.6136396198648017441295588481990899157869612198766539733846611113741489527743321e-32 and unscaled b=e-157. Kernel8.623s;families89.414s;cached radial129.641s;fixed-polygon integration963.238s. Checker SHAec0162 bound input and recombined exactly; normal/-O audit outputs byte-identical SHA12494aa1. Producer and audits used -B/-I and empty private caches; no swaps. Frozen same-r reference for Green-v9 replay.
BV-D14-GRID38-CUTOFF-CROSS-R6-GREEN-V9	2026-09-03T13:56:34+02:00	ad38951dadecdb5a5c51d1221b0a078bc9f804e9c4ec8d434706fca55a11935a	k=48;delta=1/60;alpha1=103/400;alpha2=9500917/36000000;eta=8960917/36000000;common-r=6;Fscale=1e87;Hscale=1e38	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	cached fixed-denominator radial integers;Green-boundary exact polygon moments;Fraction exact	NA	EXACT COMMON-r SHARD PASS;GREEN CHECKER NORMAL/-O;EXACT V8 REFERENCE EQUALITY;NO AGGREGATE	635.639688 internal;636.08 wall	949104	Artifact SHA7978316f; scaled b=6.6136396198648017441295588481990899157869612198766539733846611113741489527743321e-32 exactly equals frozen v8 r6 SHAe56d9c18. Kernel10.126s;families88.831s;radial126.401s;Green contraction409.326s. Checker7dbb normal/-O --reference outputs byte-identical SHA285d2b1e; exact fields bit-equal, recombination/source/denominator/cache all PASS. Private caches empty; no swaps.
BV-D14-GRID38-CUTOFF-CROSS-R4-GREEN-V9	2026-09-03T14:11:27+02:00	ad38951dadecdb5a5c51d1221b0a078bc9f804e9c4ec8d434706fca55a11935a	k=48;delta=1/60;alpha1=103/400;alpha2=9500917/36000000;eta=8960917/36000000;common-r=4;Fscale=1e87;Hscale=1e38	strict exact D19 v2 inner crossed with naturally dilated D14 grid38 outer	cached fixed-denominator radial integers;Green-boundary exact polygon moments;Fraction exact	NA	EXACT COMMON-r SHARD PASS;GREEN CHECKER NORMAL/-O;NO AGGREGATE OR QUOTIENT	786.783765 internal;787.25 wall	1097172	Artifact SHA335687b0; scaled b=2.0933260617760949744753377912506662024634153809469135854127544624288457386673011e-30 and unscaled b=e-155. Kernel9.951s;families91.806s;radial157.743s;Green contraction526.302s. Checker7dbb normal/-O outputs byte-identical SHA5d476be6; exact recombination/source/denominator/cache all PASS. Private caches empty; no swaps.
BV-D19-D14-GRID38-ONE-BAND-B-R0-FAST-V2	2026-09-03T09:35:00+02:00	4613b0fb117bf58c732e9bdeb22fa9d847a1152cc1bcac3b8b92f584231709d3	k=48;common-r=0;Fscale=1e87;Hscale=1e38;eta=8960917/36000000	strict D19 inner crossed with naturally-dilated D14-grid38 outer	Fraction exact integer radialization and collected-affine integration	NA	EXACT b SHARD PASS;INDEPENDENT STRUCTURAL RESULT AUDIT PASS;NO AGGREGATE	543.726	537396	Artifact SHA6594f8a5; structural checker SHA43a46b6a passes normal/-O. Exact 48*(sum high-sum low) recombination; all four branches present; family/radial denominator bits515/487, combined1002; value positive. No v1 target replay because v1 hit its 25-minute throughput cap.
D14-GRID38-ONE-BAND-A-V2-PRE-CERTIFICATE-AUDIT	2026-09-03T09:31:00+02:00	fe90ab3b6810fec5a0d7d8299bb74bd271307b21cd1b3387d5fee48e13bd792e	k=48;producerSHA2e91dbd8;testsSHA4d5402a8;alphaFloors=15,15	naturally-dilated 195-label D14 grid38 polynomial	independent literal k2 polygon oracle plus target radial-checker prepare gate	NA	PRE-CERTIFICATE AUDIT PASS;TARGET RADIAL VALUES PENDING	3.739 hostile normal;4.649 hostile -O	27600 target prepare	Hostile test SHA6621aa41 checks64 basis pairs,16 random vectors/geometries,r0/top,cap multiplicities,alpha dependence and reuse guards. Independent target checker SHA105a0136 reconstructs508 orbit/3034 residual square terms without importing A producer; heavy comparison paused under two-lane memory guard.
CROSS-FAST-TAGGED-V2-PRE-CERTIFICATE-AUDIT	2026-09-03T09:17:00+02:00	6d7326c63e4870f97034eb53e2b1e0a124af5f340d5e05f2eea7540296da71de	k=48;runnerSHA4613b0fb;backendSHA5d9d82ae;inheritedV1SHAd3aa9c17	D19-grid87 inner crossed with naturally-dilated D14-grid38 one-band direction	Fraction exact common-denominator integer radialization and independent literal-polygon tests	NA	PRE-CERTIFICATE AUDIT PASS;NO TARGET SHARD OR THEOREM CLAIM	7.644 hostile normal;7.527 hostile -O	lightweight	Hostile test SHA4be6e1ee passes4/4 both modes: all64 basis pairs,16 random coefficient/geometry cases, coefficientwise family/radial denominator restoration, affine shifts, zero faces, and closed-form k1. Final target-output audit remains mandatory.
CROSS-SYMMETRIC-CUTOFF-V1-PRE-CERTIFICATE-AUDIT	2026-09-03T09:09:00+02:00	ebcd39d0d2fa711cc0622b87ba8d5b90c82293297b6e2ae1be5126c1d85affcb	k=48;runnerSHAdeceb6c6;engineSHAd3aa9c17;eta=8960917/36000000	D19-grid87 inner crossed with naturally-dilated D14-grid38 one-band direction	Fraction exact recurrence plus independent named-monomial rational-polygon Green oracle	NA	PRE-CERTIFICATE AUDIT PASS;NO TARGET SHARD OR THEOREM CLAIM	19.178 hostile normal;17.777 hostile -O	lightweight	Hostile test SHAb4e17d1b passes7/7 both modes:64 basis pairs,16 random combinations,12 random geometries,all four branches,r0/top,I strata,target scales/dilation,and k4 orbit products. Result-level audit remains mandatory.
D14-GRID38-ONE-BAND-A-R6-PAIRED-V2	2026-09-03T09:05:18+02:00	2e91dbd8bcb8d0bfd102f964236d3a7d60d974bfecedab96a4a19a1124e81c2d	k=48;count=6;alpha1=103/400;alpha2=9500917/36000000;delta=1/60;scale=10^38	naturally-dilated 195-label D14 grid38 polynomial	Fraction exact paired high/low grouped integration	NA	EXACT A SHARD PASS;MATCHES SEPARATE V1 BIT-FOR-BIT;NO FINAL INEQUALITY	266.451	89440	Artifact SHA46132be3. Exact scaled band A6=1.5760446813246890208618525619e-69; high,low,band and all volume values match separate-pass benchmark; tests SHA4d5402a8 3/3 normal/-O. Remaining counts running.
D14-GRID38-ONE-BAND-A-R6-SCALE-CHECK	2026-09-03T09:00:21+02:00	6fa3c7c99735ec9eeb5817413e4dfc77dc6ae57e1cef26c720f54f33eb93896e	k=48;count=6;alpha1=103/400;alpha2=9500917/36000000;delta=1/60;scale=10^38	naturally-dilated 195-label D14 grid38 polynomial	Fraction exact separate high/low passes	NA	EXACT SCALING CROSS-CHECK;SCALED A6=10^76*UNSCALED A6	535.843 scaled;517.461 unscaled	89420 scaled;89008 unscaled	Scaled artifact SHAb2009bbe; unscaled artifact SHA5033ad61. The rational ratio is exactly one after division by10^76; this is a benchmark/cross-check, not the aggregate A.
BV-AQUARTER-D20-FULL-MATRIX-CACHE-COMPLETE	2026-09-03T08:47:00+02:00	f660a30d8dd83f13459e0412ded1e28c7ec0864abb41ad04a396475a7905e1d4	k=48;alpha=103/400;eta=97/400;delta=7/250;D20dim707;cacheSHA79fe10b3	complete canonical graded-even B20 basis	Fraction recurrence with source-bound SQLite search cache	NA	EXACT SEARCH CACHE COMPLETE;NOT A CERTIFICATE;POST-BUILD SOLVE INTERRUPTED	NA	high;about1GiB released	All 707 rows completed with111156 prior hits and139122 new misses, exactly250278 upper-triangle entries; SQLite integrity_check=ok. Process stopped after commit to free memory for theorem-facing exact A,b; no D20 vector or quotient is claimed.
BV-AQUARTER-D19-DIRECT-V2-INDEPENDENT-AUDIT	2026-09-03T08:34:00+02:00	6a4623ec256f467b771e207820016cdf62fe9e09f22c6a56518c6bcc4118001f	k=48;checkerSHAff2046ce;candidateSHA98656357;resultSHA8b0d47b2	complete canonical graded-even B19 rational vector	independent Fraction scan-free recurrence plus hostile wire validation	.9867930836956087556586707101860344621	AUDIT PASS FOR EXACT PARTICULAR INNER VECTOR;NO CAP/THEOREM	fresh normal and -O full replays	moderate	Both modes reproduce result byte-for-byte; separate contraction matches exact forms; complete 568-label basis and single factor48 checked; ten additional malformed records rejected.
BV-D14-FINE-COMMON-GRID-SELECTION	2026-09-03T08:35:00+02:00	83dfdd7d88ee7f2f2a4dfbf492af693b9ae99c2bfaf983816c0fdcdec3229a57	k=48;D14;grid=1e-38;fineGridResultSHA72208259;cappedScreenSHA6c2349a1	195-label natural D14 polynomial	Fraction exact full-simplex replay plus common-random-number capped screen	.97520592389044602 full-simplex	EXACT RATIONALIZATION PASS;CAPPED PROJECTION HEURISTIC;SELECTED FOR EXACT A,b	5.20 exact grid family;16.17 capped screen	95328 capped screen	Exact full-simplex quotient change1.8761e-21; capped projection .0223828988031081 versus original .0223828988031047; CRN difference2.29e-15+/-1.78e-15; proposal-weighted relative L2 change1.97e-12.
BV-AQUARTER-D19-DIRECT-CACHEFREE-CHECK	2026-09-03T07:47:00+02:00	63bd2a3adc84191d212d52d3175179f583a1257d7c862f1ee07ecaa2ade3b7d3	k=48;alpha=103/400;eta=97/400;deltaSource=7/250;deltaTarget=1/60;candidateSHA98656357	complete canonical graded-even B19 rational vector	Fraction direct square/marginal reconstruction	.9867930836956087556586707101860344621	INDEPENDENT EXACT PARTICULAR INNER VECTOR PASS;CACHE-FREE;HOSTILE AUDIT PENDING;NO CAP/THEOREM	43.53 normal;51.44 -O	78192 normal;82724 -O	Result SHAa71b9bac byte-identical normal/-O; tests SHAa8d5dd13 4/4 each mode. Rebuilt13955 square and13955 marginal-square orbit terms and proved normalized deficit=.013206916304391244341329....
BV-AQUARTER-D19-DIRECT-CACHEFREE-CHECK-V2	2026-09-03T08:17:00+02:00	ff2046ce180394a6328fdec2c112d575a4c540ff964f5dede28c6db6091506c5	k=48;alpha=103/400;eta=97/400;deltaSource=7/250;deltaTarget=1/60;candidateSHA98656357;v1SHA63bd2a3a	complete canonical graded-even B19 rational vector	Fraction direct reconstruction plus strict canonical wire validation	.9867930836956087556586707101860344621	EXACT PARTICULAR INNER VECTOR PASS;CACHE-FREE;NORMAL/-O BYTE-IDENTICAL;HOSTILE V2 AUDIT PENDING;NO CAP/THEOREM	47.35 normal;50.42 -O	77936 normal;83592 -O	Result SHA8b0d47b2; tests SHA5f03f8cd 7/7 each mode. Supersedes v1 as the checker entry point after a hostile float-exponent coercion counterexample; v2 rejects noninteger basis fields and noncanonical rational strings before invoking the pinned v1 recurrence.
BV-D19-SORTED-REMOVAL-ONE-BAND-H2-SEED2361817	2026-09-03T07:50:00+02:00	e1e06fbbc5c79d4708e9adf6911873798bf04368449609a407b41f05cb80bd68	k=48;D19exactInner;sortedRemovalOneBand;seed2361817;8chains	D19 exact inner Riesz representer on verified one-band cap	longdouble target-density MCMC using exact-normalized D18 proposal	NA	HEURISTIC CALIBRATED;I(Gcap)/I(F)=.03736548334+-.00054960371;NOT CERTIFICATE	51.16	309692	Result SHA496af994; exact cache-free inner deficit=.0132069163044 and lower-2SE energy=.0362663. Strong provisional positive, but empirical errors are not rigorous and a second seed/exact finite projection are mandatory.
BV-D19-NATURAL-PROJECTION-SEED2361817	2026-09-03T08:03:00+02:00	132992f8c25ec52228a9bab407d4464cb614917dad43eb3eff6fb9eda7d82ef5	k=48;D19exactInner;sortedRemovalOneBand;seed2361817;8chains;burn4000;draws6000	natural dilated D19 polynomial restricted to the exact one-band cap	longdouble common-random-number MCMC;cache-free exact inner forms	.03680472098325656	HEURISTIC CALIBRATED PROJECTION;NOT AN ERROR BOUND;EXACT A,b NOT STARTED	55.7683	309720	Result SHAbdf356b7; A/I=.1366262352+-.0015536650 and b/I=.0709118500+-.0009112439, with b=48J(F,H). Exact sufficient threshold is .0132069163043912443; sampled excess .02359780468. Natural D18 comparator=.03547557149+-.00055436923.
BV-D19-NATURAL-PROJECTION-SEED2361818	2026-09-03T08:05:00+02:00	132992f8c25ec52228a9bab407d4464cb614917dad43eb3eff6fb9eda7d82ef5	k=48;D19exactInner;sortedRemovalOneBand;seed2361818;8chains;burn4000;draws6000	natural dilated D19 polynomial restricted to the exact one-band cap	longdouble common-random-number MCMC;cache-free exact inner forms	.036295205841886724	HEURISTIC CALIBRATED PROJECTION;NOT AN ERROR BOUND;INDEPENDENT FROZEN-RUN CHECK PASS	51.0588	309928	Result SHA69fb8bb1; A/I=.1358139571+-.0013335286 and b/I=.0702096541+-.0008084798. Exact threshold .0132069163043912443; sampled excess .02308828954. Source tests SHA2150bd54 4/4 normal/-O; independent run-summary checker SHA79c85f65 and checked summary SHAfbffe031.
SORTED-REMOVAL-TRUNCATED-ONE-BAND-V3-HOSTILE-AUDIT	2026-09-03T08:09:00+02:00	b4e889ab47690fb8619342267e4259dab5b31882ef5a25b9015957d4e210394b	k=48;supportResultSHAc9be4426;completeIIbOracle;completeIIcReconstruction	frozen sorted-removal single-band analytic tuple	independent Fraction reconstruction;normal/-O/canonical byte-identical	NA	SCOPED AUDIT PASS FOR FROZEN TUPLE;GENERIC PRODUCER COMPLETENESS DEFECT RECORDED;NO QUOTIENT	NA	lightweight	Audit result SHAfea750c7 and report SHA652f1b16. Independent oracle checked24226 IIb affine-root probes versus producer19182; the omitted2522 ordinary-prefix roots do not change any frozen minimum or produce a counterexample. Rebuilt all43008 IIc cells and direct-HB-to-Proposition1 interface; only common plus/minus1e-7 translation is certified.
BV-AQUARTER-D19-KRYLOV20-WARM	2026-09-03T07:41:00+02:00	6dc0857cc40b5b47bfe65bfd7ccf50d98891df0251cf52f6adee56549cbf5993	k=48;alpha=103/400;eta=97/400;delta=7/250;canonicalD19dim568;snapshotSHA334465ac	complete graded-even B19;warm exact D18 seed	Decimal160 A-orthogonal Krylov20;75-significant-digit Fraction contraction	.9867930836956087556586707101860344621	EXACT PARTICULAR VECTOR CONDITIONAL ON CACHE;DIRECT RECONSTRUCTION RUNNING;NO CAP/THEOREM	NA	moderate	Artifact SHA98656357; 161596 cache hits/0 misses, matrix SHA0f7b0ac3. Normalized inner deficit=.01320691630439124434, about.000510 below current D18 one-band H2 mean, but the bridge must be recomputed for this D19 vector.
BV-D20-PREFIX482-KRYLOV12-WARM	2026-09-03T07:38:00+02:00	6dc0857cc40b5b47bfe65bfd7ccf50d98891df0251cf52f6adee56549cbf5993	k=48;canonicalB20prefix482;snapshotSHA34ed92d9	complete D18 plus first11 D19 labels	Decimal140 A-orthogonal Krylov12;65-significant-digit Fraction contraction	.9853882063417839775550077281964012225	EXACT PARTICULAR VECTOR CONDITIONAL ON CACHE;NO CAP/THEOREM	NA	moderate	Artifact SHA162cb8eb; monotone Ritz trace and 116403 cache hits/0 misses. Superseded numerically by the complete-B19 run but retained as solver regression.
SORTED-REMOVAL-ONE-BAND-D18-H2-SEED2361818	2026-09-03T07:38:00+02:00	1e15d2a568c497586389ec7b3dd7e336f05e9a2d0b3583345194a13221ee55e0	k=48;delta=1/60;A2=9230917/36000000;oneBandActive0..12;8chains;burn4000	refined D18 one-band Riesz representer	longdouble target-density MCMC anchored to exact Fraction cross	NA	HEURISTIC CALIBRATED;I(Gcap)/I(F)=.0136784687+-.000108705;NOT CERTIFICATE	50.08	307644	Result SHA9692feb0; all mixing/radial/cross gates pass. Two-seed inverse-variance display=.0137165836268+-.000082223596, below exact D18 deficit by.000932575523. Numerical SE is empirical, not rigorous.
SORTED-REMOVAL-ONE-BAND-D18-H2-SEED2361817	2026-09-03T07:37:00+02:00	1e15d2a568c497586389ec7b3dd7e336f05e9a2d0b3583345194a13221ee55e0	k=48;delta=1/60;A2=9230917/36000000;oneBandActive0..12;8chains;burn4000	refined D18 one-band Riesz representer	longdouble target-density MCMC anchored to exact Fraction cross	NA	HEURISTIC CALIBRATED;I(Gcap)/I(F)=.0137675487+-.000125701;NOT CERTIFICATE	54.39	307644	Result SHAd3936a66; all mixing/radial/cross gates pass. Exact one-band threshold is .0146491591498227584 and no target exact integral was launched.
SORTED-REMOVAL-TRUNCATED-ONE-BAND-EXACT-V3	2026-09-03T07:31:00+02:00	fff280573fa1bf539fe8fcba72270aa088c6d35255f39da24d7fb77fce5a75d5	k=48;delta=1/60;A2=9230917/36000000;alpha2=9500917/36000000;etaOuter=8960917/36000000;outerActive0..12	inner simplex plus one sorted-removal outer count schedule	Fraction exact source and continuum packing checks	NA	EXACT DISCOVERER ANALYTIC PASS;HOSTILE AUDIT PENDING;NO QUOTIENT	NA	lightweight	Result SHAc9be4426; tests SHA9b0e1409 5/5 normal/-O; root replay byte-identical. Inventories582 main,168 near,1500 fixed,19182 IIb records,43008 IIc cells; least IIc margin71/66000000. Single outer band preserves the valid one-band Riesz route.
ADAPTIVE-D18-H2-TWO-BAND-FINAL-SEED2361818	2026-09-03T07:01:37+02:00	2d262e1ea4a1ea20f42ea03cb8c8bc6405ae75b8f94cc1db668dfeb0797dfe1b	k=48;delta=1/60;verifiedTwoBand;8chains;burn4000	refined D18 capped Riesz diagnostic split lower/upper	longdouble target-density MCMC anchored to exact Fraction cross	NA	HEURISTIC CALIBRATED;totalEnergy/I=.0136261981+-.000120210;lower=.0125032129;upper=.00112298519;NOT CERTIFICATE	54.36	308888	Result SHA4b7cfb8d; all chains visit both bands; ratio/R2 Rhat<=1.00285; exact-cross relative error .000368. Summing bands is diagnostic only because multiband Definition-5 J is not PSD.
ADAPTIVE-D18-H2-TWO-BAND-FINAL-SEED2361817	2026-09-03T07:00:31+02:00	2d262e1ea4a1ea20f42ea03cb8c8bc6405ae75b8f94cc1db668dfeb0797dfe1b	k=48;delta=1/60;verifiedTwoBand;8chains;burn4000	refined D18 capped Riesz diagnostic split lower/upper	longdouble target-density MCMC anchored to exact Fraction cross	NA	HEURISTIC CALIBRATED;totalEnergy/I=.0135229961+-.000144402;lower=.0124186123;upper=.00110438378;NOT CERTIFICATE	61.56	308892	Result SHA77f1975a; all chains visit both bands; ratio/R2 Rhat<=1.00285; exact-cross relative error .00550. Naive two-seed total combination=.0135839541+-.0000923872, 11.5 SE below D18 threshold.
